gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,3,1728426735301092000,0.074496,0.073984,0.847872,120.024064,341.986816,363.714048,751.333376,775.602688
0000000100,3,1728426743362681300,0.120064,0.119296,0.580608,18.802432,83.180544,109.157376,322.608128,346.637824
0000000200,3,1728426751364500500,0.05376,0.053248,0.615424,19.035904,80.94464,106.54592,320.8768,344.992
0000000300,3,1728426759520454000,0.12928,0.128,0.701952,18.612736,80.505088,106.223872,324.317952,348.15232
0000000400,3,1728426768503048400,0.046336,0.045824,0.483328,18.226944,82.949888,104.58624,326.952448,350.972928
0000000500,3,1728426777605962200,0.054528,0.05376,0.571392,19.393024,80.058624,105.089536,318.715904,342.434816
0000000600,3,1728426785874300700,0.084736,0.084224,0.564224,17.399296,80.823552,105.538048,324.670208,348.457216
0000000001,3,1728426786501462500,0.054016,0.052736,0.664576,17.502208,81.623296,102.654464,319.23968,341.975552
0000000101,3,1728426794563024600,0.052224,0.0512,0.587776,19.514112,82.07488,103.521024,321.792768,344.52096
0000000700,3,1728426796697319400,0.13312,0.132096,0.62848,17.548032,80.88832,102.819584,328.221184,352.09472
0000000201,3,1728426802564828200,0.064768,0.063488,0.733696,20.3392,84.986624,106.227968,328.538368,351.458048
0000000800,3,1728426805007893500,0.10624,0.105728,0.532992,17.014528,85.26848,106.777856,325.325824,349.783552
0000000301,3,1728426810720781800,0.05248,0.051712,0.715776,20.218624,86.26048,107.618048,325.62816,348.604928
0000000900,3,1728426812981000200,0.078592,0.077568,0.578816,16.092928,82.64064,104.165632,320.815872,344.689408
0000000401,3,1728426819703401200,0.056576,0.055296,0.832768,21.837312,88.058368,109.201408,326.023168,348.975104
0000001000,3,1728426821181839600,0.07424,0.073472,0.607232,17.833984,88.486144,110.384896,326.103808,349.696256
0000000501,3,1728426828805993500,0.027392,0.02688,0.348672,35.150592,104.103168,125.48352,351.012608,373.964544
0000001100,3,1728426829127972600,0.124416,0.123392,0.896512,18.451712,86.642688,107.867392,326.691584,350.78528
0000000601,3,1728426837074647300,0.051968,0.0512,0.729344,21.027584,96.438528,117.682944,338.911744,361.801216
0000000002,3,1728426837701604900,0.033792,0.03328,0.470016,19.08224,82.389248,103.53664,334.276864,356.557568
