gnbid,type,timestamp,SM5G_PDU_SESSION_INACTIVE,MM5G_NULL,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729035116178415000,0.049664,0.048896,0.48512,217.113344,703.145472,729.875968,1270.164736,1294.481408
0000000100,1,1729035124219825700,0.08448,0.0832,0.525568,37.642752,159.882496,181.42976,561.781248,586.19136
0000000001,1,1729035126178777300,0.051712,0.050432,0.54272,43.750656,197.067008,217.794048,596.884224,619.878912
0000000200,1,1729035133031338200,0.060928,0.06016,0.806144,67.870208,195.210496,216.361984,590.7712,620.474112
0000000101,1,1729035134220063700,0.04352,0.042496,0.488448,38.376704,131.244544,152.750848,526.728448,549.50656
0000000002,1,1729035136179084000,0.046592,0.045568,0.687872,38.089216,127.0848,148.478208,532.051712,555.125248
0000000300,1,1729035141486695000,0.096768,0.096,0.534784,38.66368,144.946944,165.851648,541.943296,566.198784
0000000201,1,1729035143031557000,0.073984,0.072704,0.792064,39.293184,164.91776,186.309376,564.333312,586.927872
0000000102,1,1729035144220260600,0.042752,0.041728,0.675584,36.086528,155.487232,176.820224,560.553472,583.25248
0000000003,1,1729035146179458800,0.041216,0.040448,2.016,40.430336,181.465856,202.855424,591.468544,614.117888
0000000400,1,1729035149602593500,0.0896,0.08832,0.74368,37.03168,172.090112,193.009664,588.206336,612.363776
0000000301,1,1729035151486876700,0.025088,0.024576,0.361728,37.382656,149.6064,172.791296,583.894784,752.66176
0000000202,1,1729035153031858700,0.052224,0.0512,0.533504,37.505024,152.9472,174.353664,559.252992,582.0096
0000000103,1,1729035154220540200,0.141568,0.140032,0.848384,39.782656,174.991616,196.467456,579.293952,602.10688
0000000004,1,1729035156179689200,0.10368,0.1024,0.512512,38.388224,145.74336,168.297728,542.36288,565.293824
0000000500,1,1729035157755152400,0.057088,0.056576,0.598272,38.145792,164.41472,185.605632,573.457408,597.644032
0000000401,1,1729035159602938000,0.054528,0.053248,0.753664,41.198848,147.351296,168.589056,542.3552,565.34272
0000000302,1,1729035161487298800,0.054784,0.054016,0.823552,37.66528,153.356032,174.605312,555.667712,578.48704
0000000203,1,1729035163032073500,0.054528,0.053504,0.624384,40.622336,136.833536,158.069248,544.228096,567.29216
0000000104,1,1729035164220968200,0.048128,0.046848,0.694272,36.897792,167.68,188.921856,574.642432,597.408
0000000005,1,1729035166179901200,0.022528,0.022016,0.571392,37.375232,124.546304,145.789184,531.280128,554.544384
0000000600,1,1729035167048153900,0.05632,0.055552,0.52352,39.06816,135.702784,157.34144,501.200128,525.451776
0000000501,1,1729035167755519500,0.04608,0.0448,0.797696,39.964416,137.953536,159.36,546.799104,569.510912
0000000402,1,1729035169603456300,0.049152,0.048128,0.761856,39.722752,145.059072,166.446848,545.83552,569.08416
0000000303,1,1729035171487678700,0.09088,0.085504,0.462848,39.923456,193.059584,214.482176,599.108352,621.14048
0000000204,1,1729035173032375000,0.04736,0.046592,0.763648,55.872512,175.682048,196.821248,568.564224,591.277312
0000000105,1,1729035174220915500,0.028928,0.028672,1.3568,35.241728,147.017984,168.343552,546.465792,569.3888
0000000700,1,1729035174963245600,0.047872,0.047104,0.50816,38.87104,137.837312,158.841344,541.981952,565.883648
0000000006,1,1729035176180183800,0.043776,0.042496,0.727296,37.946112,121.714944,142.920448,532.307968,554.85824
0000000601,1,1729035177048389000,0.048384,0.046336,0.781312,40.557824,163.905024,185.122048,576.288,599.076352
0000000502,1,1729035177755694000,0.106752,0.105728,0.57728,41.899008,184.550912,205.846016,589.451008,612.270336
0000000403,1,1729035179603514400,0.047104,0.045824,0.54144,40.440064,159.892736,181.191168,562.532608,585.407488
0000000304,1,1729035181487739100,0.025088,0.024832,0.312832,39.900672,129.840128,152.079104,553.348608,576.283392
0000000205,1,1729035183032644900,0.05376,0.052736,0.662528,39.929856,162.34624,183.98848,564.78336,587.535872
0000000800,1,1729035183250653200,0.107776,0.10624,0.557056,40.230656,197.045248,218.570496,598.921984,622.751744
0000000106,1,1729035184221275600,0.045056,0.044288,0.5056,36.8704,147.3856,168.659968,546.700032,570.304768
0000000701,1,1729035184963614000,0.0512,0.050176,0.6016,47.267328,132.835328,154.075392,537.598976,560.544512
0000000007,1,1729035186180523300,0.046592,0.045312,0.566528,39.854592,155.357184,176.987136,583.973632,606.849792
0000000602,1,1729035187048778800,0.050944,0.049664,0.767744,42.267136,167.287552,188.584704,538.266624,560.689664
0000000503,1,1729035187755855600,0.039936,0.038912,2.106112,40.802304,150.22336,171.465728,554.211328,577.055232
0000000404,1,1729035189603796200,0.047872,0.046592,0.514304,38.860544,176.817664,198.059264,571.372288,594.25152
0000000305,1,1729035191487845000,0.022272,0.02176,0.444416,37.564416,145.782016,166.910464,563.7312,586.4832
0000000900,1,1729035191679368700,0.09728,0.096256,0.534016,38.816,124.412928,145.71392,523.698688,547.374592
0000000206,1,1729035193033021200,0.050432,0.049664,0.67968,37.750272,145.385216,166.467328,582.20672,605.082368
0000000801,1,1729035193250932500,0.044544,0.04352,0.480768,37.737216,181.684736,202.622208,582.080256,604.882176
0000000107,1,1729035194221522200,0.043776,0.042752,0.606208,37.003264,119.231488,140.498688,534.91456,557.930752
0000000702,1,1729035194963925500,0.048384,0.046848,0.704,40.466688,182.466048,203.955456,578.263808,601.43744
0000000008,1,1729035196180969500,0.043776,0.042496,0.702976,36.455424,131.465216,152.777728,535.92704,558.848512
0000000603,1,1729035197048945000,0.051712,0.050688,0.598016,38.804736,147.4368,169.741312,531.729664,554.45888
0000000504,1,1729035197756173300,0.04608,0.045312,0.69632,39.846656,165.197056,186.496768,568.137984,590.962944
0000001000,1,1729035199367207200,0.044288,0.043776,0.465408,40.778752,158.437632,183.38944,558.76992,583.107328
0000000405,1,1729035199603990800,0.04992,0.04864,0.60032,39.841536,146.552832,167.295232,545.553408,568.452352
0000000306,1,1729035201488034800,0.031744,0.030976,0.423168,37.292544,159.85408,181.117184,571.203072,593.950976
0000000901,1,1729035201679573500,0.047104,0.04608,0.801024,38.088192,161.436672,182.782976,567.641344,590.458624
0000000207,1,1729035203033338000,0.04992,0.04864,0.842496,40.410368,139.707904,161.09568,540.151296,564.919808
0000000802,1,1729035203251174100,0.058112,0.057088,0.771584,37.80864,148.902912,170.020096,548.747008,571.655424
0000000108,1,1729035204221792500,0.045056,0.043776,0.581888,36.686592,161.729792,183.047424,566.238208,589.054208
0000000703,1,1729035204964342000,0.04096,0.039936,0.768256,42.82752,166.248704,187.482368,571.355392,593.83936
0000000009,1,1729035206181087500,0.04736,0.046592,0.785152,39.26656,144.835584,165.990912,568.027904,590.678016
0000000604,1,1729035207049222700,0.054272,0.052992,0.742912,42.340864,134.605312,156.004608,518.209792,548.08704
0000001100,1,1729035207477433600,0.052224,0.051968,0.496384,60.71552,169.444096,193.47968,569.859328,593.640192
0000000505,1,1729035207756470000,0.067584,0.065792,2.437888,42.318336,132.557568,153.981952,538.237184,561.213952
0000001001,1,1729035209367567400,0.050432,0.049152,0.549376,43.490816,155.58912,176.840704,561.707008,584.408576
0000000406,1,1729035209604244500,0.040192,0.039424,0.795904,38.465536,141.888,165.219328,543.9552,566.751488
0000000307,1,1729035211488219600,0.029952,0.02944,0.467712,39.211776,122.734336,143.828224,516.1472,539.530496
0000000902,1,1729035211679900200,0.048896,0.047872,0.698368,38.953216,142.537984,163.611648,543.03104,566.011392
0000000208,1,1729035213033549000,0.071424,0.070144,0.939776,38.213632,146.971904,168.550144,541.52448,564.20096
0000000803,1,1729035213251434500,0.042496,0.041728,0.507904,39.780096,157.029888,178.11456,558.660608,581.499136
0000000109,1,1729035214222119200,0.04608,0.045056,0.585472,37.080832,178.32192,201.221632,575.698944,598.527488
0000000704,1,1729035214964674000,0.123136,0.121088,0.764672,40.230912,130.411008,151.623424,530.568704,553.483776
0000001200,1,1729035215478373400,0.08832,0.08704,0.571904,42.960384,135.498496,161.8816,536.036608,560.147712
0000000010,1,1729035216181369000,0.043776,0.042496,2.333184,39.212032,138.08256,159.222272,536.44928,559.361536
0000000605,1,1729035217049517300,0.048128,0.047104,0.859904,42.375936,149.39008,172.381184,527.640064,550.63936
0000001101,1,1729035217477770200,0.054528,0.053248,0.621568,46.740736,154.333696,175.962624,550.538496,573.304064
0000000506,1,1729035217756689400,0.112128,0.101376,0.938496,39.278848,126.831616,148.16,528.081408,552.051712
0000001002,1,1729035219367931600,0.048384,0.04736,0.616448,44.242432,144.350464,165.813248,550.95552,573.980416
0000000407,1,1729035219604529000,0.041728,0.04096,0.532992,37.98272,117.651968,139.027456,521.394432,544.4544
0000000308,1,1729035221488371200,0.026112,0.0256,0.276224,38.689536,163.1488,184.363264,558.223616,581.134592
0000000903,1,1729035221680037000,0.029696,0.028672,0.514304,40.558336,137.734912,158.984192,539.073792,562.142208
0000000209,1,1729035223033770800,0.043776,0.042496,0.65664,37.31712,179.488,200.727552,581.347584,604.2944
0000000804,1,1729035223251785700,0.048128,0.046848,0.555264,37.702656,180.471552,202.891008,597.794048,619.993344
0000001300,1,1729035223620957700,0.042496,0.041984,0.433408,53.10976,179.421696,207.097088,575.983104,600.168192
0000000110,1,1729035224222309400,0.041728,0.040704,0.618496,35.654656,136.350208,157.50272,534.585344,557.377792
0000000705,1,1729035224964702000,0.07552,0.075264,0.620032,44.58368,155.722752,177.108736,561.99296,584.850944
0000001201,1,1729035225478710500,0.10368,0.102656,0.702208,44.356096,169.503744,191.464448,568.06784,590.980352
0000000011,1,1729035226181603300,0.04224,0.041216,0.551424,35.729664,163.962368,185.611776,572.84352,595.807488
0000000606,1,1729035227049791700,0.048384,0.04736,0.635648,42.51264,170.952192,192.167936,546.8288,571.437824
0000001102,1,1729035227477977600,0.058624,0.0576,0.509184,30.228992,106.151936,127.403776,515.231744,538.152704
0000000507,1,1729035227756905500,0.035584,0.03456,0.558336,40.978176,150.711296,171.86688,552.015104,574.88384
0000001003,1,1729035229368115000,0.0448,0.043776,2.32832,46.056192,147.396352,168.759808,550.76096,573.687296
0000000408,1,1729035229604685600,0.07168,0.071168,0.818432,37.83168,136.972288,158.471936,537.21984,560.480256
0000000309,1,1729035231488595500,0.022784,0.022272,0.599296,38.6816,139.734784,161.086464,545.637888,569.388032
0000000904,1,1729035231680340000,0.05632,0.055296,2.16448,40.532224,149.446912,172.297984,554.096128,576.954368
0000001400,1,1729035232234207000,0.16,0.146944,0.951808,41.893888,174.62016,201.252352,583.167232,607.374592
0000000210,1,1729035233033976800,0.040192,0.039168,0.464128,35.629312,143.643648,164.936704,533.316864,556.34944
0000000805,1,1729035233251947300,0.043008,0.041984,0.6016,41.524736,164.034048,185.338112,576.18304,599.138048
0000001301,1,1729035233621248500,0.046592,0.045312,0.52736,70.991104,179.11168,201.413632,582.341376,605.183488
0000000111,1,1729035234222611200,0.087808,0.086528,0.596224,37.300992,165.605888,186.618112,562.040576,584.990208
0000000706,1,1729035234965056500,0.049408,0.048384,0.511232,40.103424,192.769792,213.953024,592.911872,614.353152
0000001202,1,1729035235478983200,0.049408,0.048128,0.637184,44.815616,135.385856,156.665344,554.778112,577.670144
0000000012,1,1729035236181907200,0.04992,0.048896,0.635904,37.95584,151.337984,172.737792,548.92928,571.853056
0000000607,1,1729035237050027000,0.041984,0.04096,0.571648,40.47104,131.969536,153.210112,512.50944,535.034112
0000001103,1,1729035237478229800,0.046848,0.045824,1.145344,35.788544,152.315648,173.476608,558.734592,582.000128
0000000508,1,1729035237757206800,0.05504,0.05376,0.743424,41.938944,151.157248,172.419584,552.812544,578.098176
0000001004,1,1729035239368393500,0.05248,0.0512,0.74624,43.89248,169.410048,192.556032,587.286016,610.186496
0000000409,1,1729035239605042400,0.049152,0.048128,0.603392,41.841152,154.088448,175.37792,553.308928,575.406336
0000001500,1,1729035241034999000,0.044288,0.043776,0.907776,48.409088,139.86432,163.392,520.831744,543.976704
0000000310,1,1729035241488966000,0.047872,0.046848,0.40832,40.944896,158.795776,180.096,552.500736,575.513856
0000000905,1,1729035241680557000,0.041984,0.04096,0.597248,38.804736,180.53376,201.8048,573.913344,598.795776
0000001401,1,1729035242234526200,0.052736,0.047104,0.975872,43.29728,155.1232,176.541952,562.460416,584.406016
0000000211,1,1729035243034251000,0.043776,0.041984,2.614528,37.692672,123.767808,144.873216,522.583808,546.412032
0000000806,1,1729035243252264200,0.043264,0.04224,0.828672,38.91328,131.270144,152.36352,533.021184,557.767936
0000001302,1,1729035243621619700,0.05248,0.051456,0.631808,45.81376,148.16768,169.246208,551.429888,574.15168
0000000112,1,1729035244222938400,0.046848,0.045824,0.531712,35.393024,140.52864,161.604864,548.217344,571.528448
0000000707,1,1729035244965318700,0.045824,0.0448,0.566272,39.692032,131.322112,152.697344,545.762816,568.470784
0000001203,1,1729035245479258400,0.051456,0.050432,1.535744,47.643904,146.735872,168.085248,572.86144,595.702272
0000000013,1,1729035246182271000,0.041728,0.040704,0.762368,38.558208,157.859072,179.256832,555.701248,578.652672
0000000608,1,1729035247050383600,0.076544,0.075264,0.730624,49.561344,165.780736,187.027456,539.546624,563.6544
0000001104,1,1729035247478428200,0.039168,0.038656,0.449792,27.616768,142.359808,165.035008,593.931008,616.531712
0000000509,1,1729035247757405700,0.040448,0.039424,0.549888,40.271872,143.665408,164.80512,543.073792,565.761024
0000001600,1,1729035249117794300,0.052992,0.052224,0.532736,48.94976,181.671168,207.580416,583.221504,607.228672
0000001005,1,1729035249368570000,0.045824,0.044544,0.550656,40.395008,128.763392,150.021632,533.693184,556.629504
0000000410,1,1729035249605262300,0.051456,0.050432,0.587776,40.157184,141.051648,162.290432,543.108864,566.12864
0000001501,1,1729035251035304700,0.051712,0.050432,0.854528,48.09216,158.296576,179.191296,532.29056,555.107072
0000000311,1,1729035251489061400,0.02816,0.027136,0.92416,38.196736,122.285568,143.58912,542.187264,565.033984
