gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729025988670066700,0.04608,0.046592,0.439808,221.40672,750.99904,772.706816,1352.709376,1376.958208
0000000100,1,1729025996589388800,0.056832,0.057344,0.565248,37.722368,145.579008,173.23392,542.85184,567.4432
0000000001,1,1729025998670641700,0.045824,0.047104,0.668416,40.564992,146.36672,168.562944,558.556672,581.628672
0000000200,1,1729026004920165000,0.09856,0.099328,0.644608,38.198784,142.445056,166.672384,545.41056,568.386816
0000000101,1,1729026006589956000,0.0512,0.052224,0.812544,38.459904,131.556608,152.520192,534.1888,556.90624
0000000002,1,1729026008670703000,0.106752,0.107776,0.606976,41.111808,153.26976,174.635008,552.562176,575.61344
0000000300,1,1729026012819422700,0.052736,0.053248,0.578816,38.8992,149.340928,170.797568,587.93984,611.968512
0000000201,1,1729026014920522500,0.045312,0.04608,0.726528,38.747648,140.427776,161.850624,536.692736,560.032768
0000000102,1,1729026016590188500,0.04864,0.04992,0.765952,39.387648,186.507008,207.510016,592.959744,615.8848
0000000003,1,1729026018670908700,0.033792,0.03456,0.703232,40.118272,151.903488,173.042176,555.470336,579.613184
0000000400,1,1729026020911597000,0.07296,0.073472,0.78592,39.4176,137.179648,158.809856,550.343424,574.324992
0000000301,1,1729026022819818500,0.051712,0.05248,0.63488,39.65952,134.724608,158.185472,541.80096,564.570112
0000000202,1,1729026024920827100,0.053248,0.054272,0.6592,41.3504,159.0848,180.336896,562.36416,585.411328
0000000103,1,1729026026590692400,0.078336,0.080384,1.666816,39.554048,180.698624,201.969152,575.974912,598.88128
0000000004,1,1729026028671310300,0.048384,0.049664,0.634368,41.5168,181.644544,204.439552,582.217472,604.683264
0000000500,1,1729026028896910600,0.122368,0.126464,0.633344,35.140864,114.249216,139.2384,528.95232,553.108992
0000000401,1,1729026030911880400,0.0448,0.045824,0.620032,41.37216,150.195968,173.0048,565.26848,587.715328
0000000302,1,1729026032820006100,0.050432,0.051968,0.676864,38.861056,135.243264,156.644608,538.847232,561.80224
0000000203,1,1729026034921100800,0.050176,0.0512,2.59328,40.882944,177.582848,198.990848,579.343104,602.34112
0000000104,1,1729026036590908000,0.040192,0.04096,0.507392,40.663808,164.863744,186.260736,564.091904,586.434304
0000000600,1,1729026037650099500,0.050688,0.051456,0.533248,39.768576,193.650688,219.777536,601.040384,624.034048
0000000005,1,1729026038671572700,0.049664,0.050432,0.601344,39.672832,132.58368,153.86752,556.41728,581.48992
0000000501,1,1729026038897214200,0.044288,0.045312,0.608,35.443968,138.9696,161.958144,547.907072,570.671872
0000000402,1,1729026040912138500,0.076032,0.077568,0.567296,40.386304,161.882368,183.04512,559.365376,872.718848
0000000303,1,1729026042820189400,0.034304,0.034816,0.390912,38.821632,128.491008,149.635072,529.764608,552.646656
0000000204,1,1729026044921357600,0.051712,0.052992,0.732928,40.301568,160.18048,181.517824,563.352064,587.741184
0000000700,1,1729026046201938700,0.059136,0.059648,0.576256,43.394304,167.820032,193.10464,575.47008,599.75936
0000000105,1,1729026046591089000,0.050944,0.052224,0.859136,38.994688,119.319296,142.471168,522.464256,545.403136
0000000601,1,1729026047650366500,0.055296,0.05632,0.594432,38.774016,123.660032,144.892928,519.603968,542.451456
0000000006,1,1729026048671812000,0.0448,0.045824,0.49024,36.791808,156.813824,177.823232,562.340864,585.434624
0000000502,1,1729026048897417700,0.032768,0.03328,0.77824,37.649152,162.954752,184.183552,571.471104,594.519808
0000000403,1,1729026050912369400,0.055296,0.055808,0.836352,44.291328,175.913216,197.290752,569.631744,592.288512
0000000304,1,1729026052820534500,0.102656,0.104192,0.792832,41.724672,169.679872,191.02592,568.4736,591.233536
0000000800,1,1729026054346778400,0.04736,0.047872,0.462336,39.751168,133.837568,155.743488,538.40896,562.789376
0000000205,1,1729026054921630000,0.046592,0.04736,0.529152,37.34144,165.002752,186.209792,571.00032,593.788928
0000000701,1,1729026056202287400,0.044032,0.0448,0.643072,43.61984,138.789632,159.822592,540.324864,563.220736
0000000106,1,1729026056591378700,0.048128,0.049152,0.7808,40.470272,162.436096,183.883776,563.062784,586.040064
0000000602,1,1729026057650640000,0.05504,0.055808,0.753664,38.351616,140.5632,162.13888,537.288448,560.251392
0000000007,1,1729026058672101000,0.054528,0.055552,0.791552,38.976,170.7264,191.898112,583.96928,606.740224
0000000503,1,1729026058897772500,0.055808,0.057088,0.604928,36.701696,145.127936,166.194176,544.245504,566.91456
0000000404,1,1729026060912597500,0.049152,0.050432,0.653056,42.579712,154.074112,175.208704,552.876544,575.401984
0000000900,1,1729026062432506600,0.049408,0.04992,0.475648,42.644992,144.993792,166.00576,551.179776,575.377152
0000000305,1,1729026062820835800,0.042752,0.04352,0.481792,39.610112,122.652928,144.421376,527.077632,550.12608
0000000801,1,1729026064347081200,0.049664,0.050944,0.624896,42.050048,182.066688,203.233024,584.382976,607.46112
0000000206,1,1729026064921911300,0.042752,0.043776,0.593408,45.243904,124.717056,146.023424,515.796224,538.65472
0000000702,1,1729026066202557700,0.041472,0.042496,0.771584,41.5424,164.525568,185.83936,567.932416,590.501632
0000000107,1,1729026066591631600,0.043776,0.044544,0.806144,35.625984,157.508096,178.861056,580.41088,602.53952
0000000603,1,1729026067650965800,0.046848,0.048128,2.555136,38.984704,130.831104,151.982592,570.961664,593.73824
0000000008,1,1729026068672345600,0.041984,0.043008,0.61568,37.309696,199.16672,220.431872,591.58272,614.5536
0000000504,1,1729026068897987300,0.066304,0.067072,2.203904,40.057856,159.115008,180.441344,567.524864,613.01632
0000001000,1,1729026070477347600,0.068352,0.068864,0.575232,42.639104,139.066624,164.823296,543.576832,567.99232
0000000405,1,1729026070912902000,0.059904,0.061184,0.621312,44.732928,150.944,172.379904,559.620608,581.58592
0000000901,1,1729026072432841700,0.049408,0.050432,0.813824,45.938688,173.229312,194.713088,582.148864,605.230592
0000000306,1,1729026072821105200,0.044032,0.045312,0.768,41.909504,121.264128,142.735104,527.944192,552.712704
0000000802,1,1729026074347547100,0.049664,0.050944,0.833792,45.421568,142.588416,163.97952,550.745088,573.628672
0000000207,1,1729026074922145300,0.038912,0.040192,0.673536,38.953728,188.480768,211.335424,582.244352,605.142528
0000000703,1,1729026076202750000,0.046592,0.047872,0.59008,44.894208,152.029184,173.185024,565.074944,588.146176
0000000108,1,1729026076591921400,0.04352,0.044544,0.472064,39.684864,146.245632,167.489792,565.52704,588.506624
0000000604,1,1729026077651177200,0.0256,0.026368,0.658688,39.610624,157.354496,178.768384,573.662464,596.52864
0000001100,1,1729026078610305300,0.122368,0.12288,0.817664,43.001856,170.043648,196.74624,576.99968,601.32096
0000000009,1,1729026078672432000,0.032768,0.033024,0.239104,34.885632,194.577152,215.8464,586.865664,609.742336
0000000505,1,1729026078898371300,0.036608,0.037376,0.523008,36.543744,145.733888,166.82624,549.104128,573.56672
0000001001,1,1729026080477705200,0.143872,0.145408,0.69248,46.224384,137.865216,159.123456,544.68864,567.494144
0000000406,1,1729026080913157600,0.042752,0.044032,0.651008,37.856512,124.45696,145.888,530.234112,553.582848
0000000902,1,1729026082433038000,0.04352,0.044288,0.589824,42.838784,197.264128,218.546432,594.71616,617.879808
0000000307,1,1729026082821258800,0.037376,0.038656,0.753152,36.788736,145.960448,169.603072,544.507648,567.844352
0000000803,1,1729026084347673600,0.091392,0.092416,3.2448,47.457536,177.007872,198.499072,574.203904,597.09696
0000000208,1,1729026084922487800,0.040192,0.041472,0.590336,37.585664,137.01376,158.32448,548.745472,573.55648
0000000704,1,1729026086202986500,0.060928,0.062464,0.563712,41.062144,167.181824,188.57984,569.575936,592.869376
0000000109,1,1729026086592277000,0.046848,0.047616,0.876032,35.419392,133.548288,154.866688,534.263808,557.792256
0000001200,1,1729026086756249900,0.050944,0.051456,0.576256,42.460928,177.793792,203.389952,585.499392,609.608192
0000000605,1,1729026087651465000,0.049664,0.050432,0.681984,41.131264,135.045888,156.387584,555.69792,578.58304
0000001101,1,1729026088610814700,0.039424,0.040704,0.68608,39.043328,146.790656,167.995392,561.357824,584.220416
0000000010,1,1729026088672801300,0.0448,0.045824,1.823488,50.963968,131.76704,153.041408,537.330944,560.205056
0000000506,1,1729026088898683100,0.077056,0.078336,0.552448,40.4992,153.073664,175.169024,552.284672,574.991872
0000001002,1,1729026090477889000,0.041216,0.041728,0.446208,42.331648,186.971648,208.161536,598.303744,621.274368
0000000407,1,1729026090913404400,0.044032,0.049664,0.581888,36.752128,122.14272,145.253632,530.47424,553.666304
0000000903,1,1729026092433302300,0.044544,0.045312,0.577536,42.719232,155.987456,177.330176,562.19264,585.137664
0000000308,1,1729026092821524000,0.038144,0.038912,0.555008,37.558272,124.703232,145.946368,533.785856,558.491392
0000000804,1,1729026094347983000,0.04224,0.043008,0.635904,43.063296,162.908416,184.222976,568.5824,592.054272
0000000209,1,1729026094922814500,0.043264,0.044288,0.502272,38.704128,146.235904,167.661056,543.655168,566.669312
0000001300,1,1729026095140225500,0.04736,0.048128,0.4864,40.918528,155.843072,182.080512,548.718336,572.847616
0000000705,1,1729026096203311000,0.048128,0.048896,0.70912,43.330304,165.473536,186.606592,576.561664,600.738816
0000000110,1,1729026096592494800,0.047872,0.04864,0.49408,52.581376,139.343104,160.708096,539.815424,562.515968
0000001201,1,1729026096756492800,0.044288,0.045568,0.78464,44.142336,131.920896,154.541312,549.841152,572.752896
0000000606,1,1729026097651840300,0.050944,0.051712,0.639488,36.324352,154.6688,175.761152,559.002624,583.426304
0000001102,1,1729026098610954000,0.045056,0.04608,0.517888,45.503488,160.719872,181.93536,572.947968,595.881984
0000000011,1,1729026098673064700,0.042752,0.04352,0.733184,36.539136,118.182656,139.557376,512.861696,535.150848
0000000507,1,1729026098898942500,0.04352,0.044544,0.585216,38.378496,131.049216,152.129792,535.69792,559.648
0000001003,1,1729026100478136300,0.048384,0.049664,1.619968,47.222016,180.287744,201.602816,591.434752,614.482688
0000000408,1,1729026100913689900,0.102144,0.103168,0.68992,39.87456,124.92544,146.253312,534.85952,557.638656
0000000904,1,1729026102433473800,0.020224,0.02048,0.308224,40.846848,150.15296,173.038592,555.482112,579.076864
0000000309,1,1729026102821788200,0.028416,0.029184,0.692736,39.430656,144.218112,165.537536,544.260096,567.03232
0000001400,1,1729026102962878700,0.079104,0.079616,0.60416,42.198272,139.745024,164.994304,547.32928,571.211008
0000000805,1,1729026104348248800,0.05504,0.056064,0.758784,48.644096,220.537856,242.092544,626.395904,649.334784
0000000210,1,1729026104923109400,0.052736,0.053504,0.52992,37.819648,158.233088,179.5072,564.817152,587.524608
