gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729178583136356600,0.061696,0.065536,0.606464,220.011264,958.25792,979.83232,1726.998016,1751.323392
0000000001,1,1729178583236692200,0.126976,0.128256,0.506112,147.811328,951.372032,975.136,1935.230208,1958.2912
0000000002,1,1729178583337002500,0.067584,0.071936,0.584704,105.10848,969.22112,992.620544,2015.535872,2038.475008
0000000003,1,1729178583437135000,0.047616,0.049152,0.84736,188.069632,1544.939776,1566.31808,2465.187072,2488.473344
0000000004,1,1729178583537324800,0.039424,0.040704,0.53888,144.680704,1879.98464,1901.370368,2952.336896,2974.338304
0000000005,1,1729178583637884700,0.033536,0.03456,0.492544,696.240128,2391.125504,2412.22016,3788.433152,3811.617792
0000000006,1,1729178583738025700,0.038912,0.039936,0.455936,636.876032,2443.497216,2464.921088,3856.1536,3879.000832
0000000007,1,1729178583838222300,0.04608,0.04736,0.428032,564.57728,2450.74048,2472.315904,3928.84608,3952.56704
0000000008,1,1729178583938499000,0.041216,0.041984,0.589312,494.04032,2613.686272,2635.668224,4195.328256,4217.986816
0000000009,1,1729178584038767600,0.04352,0.044288,2.301184,420.487936,2609.466624,2630.763776,4394.585856,4418.802432
0000000010,1,1729178584138980000,0.048384,0.050176,0.520192,702.959104,2625.345024,2646.627072,4672.85248,4695.613696
0000000011,1,1729178584239117300,0.038656,0.03968,0.571648,916.005632,2799.995136,2821.305344,5048.385024,5071.373568
0000000012,1,1729178584339377200,0.039424,0.040192,0.507648,1001.777152,2853.048064,2875.514624,5197.32224,5220.24832
0000000013,1,1729178584439531000,0.037888,0.038912,0.491776,1037.3504,3498.706944,3520.028928,5819.078912,5841.337856
0000000014,1,1729178584539921700,0.06144,0.06272,0.572928,994.66624,3698.660096,3720.001536,5996.204544,6018.323712
0000000015,1,1729178584640105500,0.041728,0.042496,0.473856,922.335232,3815.388416,3836.887296,6208.948736,6231.8464
0000000016,1,1729178584740181000,0.047616,0.04864,0.73728,848.60672,3785.25184,3806.78272,6258.529792,6280.892416
0000000017,1,1729178584841446400,0.05632,0.06016,0.836352,786.49856,3777.886464,3799.311872,6345.650432,6367.700736
0000000018,1,1729178584941658000,0.043008,0.044288,0.550144,756.703744,3887.894016,3910.861568,6682.280448,6705.246976
0000000019,1,1729178585041954000,0.0448,0.045824,0.429824,832.86016,3912.148992,3933.398784,6861.54496,6884.515072
0000000020,1,1729178585142246700,0.045312,0.046336,0.613632,766.168832,3892.667136,3913.946112,6965.58848,6988.674816
0000000021,1,1729178585242278700,0.028672,0.02944,0.516864,729.053952,4067.816448,4089.108992,7221.330688,7242.713344
0000000022,1,1729178585342456600,0.04736,0.048384,0.594944,728.923136,4306.719232,4328.735232,7650.613248,7673.317632
0000000023,1,1729178585442630100,0.03584,0.036864,0.627968,1021.324288,4548.98048,4570.433792,8109.954304,8132.944128
0000000024,1,1729178585542876700,0.034304,0.035328,0.489472,1143.27936,5053.419008,5074.791168,8530.229248,8552.980736
0000000025,1,1729178585643151000,0.059648,0.060672,0.543232,1158.621696,5667.283968,5688.711424,8999.619072,9022.440704
0000000026,1,1729178585743456800,0.06528,0.067328,0.720128,1098.117376,5674.573568,5695.586304,9115.126784,9138.004736
0000000027,1,1729178585843598300,0.030208,0.03072,0.389888,1024.760576,5837.507072,5858.973184,9355.219456,9377.947648
0000000028,1,1729178585943869700,0.058368,0.059392,0.553472,1125.585408,6237.160192,6258.588672,9849.884928,9872.73216
0000000029,1,1729178586044519000,0.036608,0.037632,0.553216,1192.955136,6523.01824,6544.433152,10130.621184,10153.456896
0000000030,1,1729178586144833800,0.0448,0.04608,0.571136,1270.087936,6651.806208,6672.712192,10433.074688,10455.721472
0000000031,1,1729178586245018000,0.058368,0.059648,0.65792,1322.765312,6812.942592,6834.23488,10797.037824,10819.8016
0000000032,1,1729178586345228500,0.036352,0.037376,0.587008,1406.210816,6821.905152,6843.043328,10995.946752,11019.241728
0000000033,1,1729178586445309200,0.040448,0.041472,2.835456,1337.753344,6822.590208,6843.78496,11055.213312,11078.073856
0000000034,1,1729178586545543000,0.03968,0.040704,0.541696,1298.13632,6818.744576,6840.143616,11098.9312,11122.002688
0000000035,1,1729178586645654300,0.050688,0.051712,0.753408,1465.555712,7032.105472,7053.4208,11367.891968,11390.493952
0000000036,1,1729178586745993500,0.041472,0.04224,0.53504,1808.707072,7510.84032,7532.311552,11941.354752,11964.360704
0000000037,1,1729178586846001400,0.036608,0.037632,0.762112,2023.42656,8106.784256,8128.126208,12319.951616,12342.809344
0000000038,1,1729178586946257000,0.03712,0.038656,0.4224,2120.889088,8490.662912,8512.069376,12641.196544,12664.198656
0000000039,1,1729178587046470400,0.046592,0.047872,0.540928,2050.054912,8483.872,8505.227008,12693.744896,12716.156672
0000000040,1,1729178587146560000,0.045312,0.046336,0.530944,2191.52128,8727.789056,8749.314304,13017.69984,13040.482048
0000000041,1,1729178587246868000,0.116992,0.12416,0.959232,2279.6928,8964.201472,8985.673472,13297.291264,13320.22528
0000000042,1,1729178587347084800,0.050688,0.051456,0.794624,2207.83616,8948.181504,8969.505024,13344.682752,13367.766784
0000000043,1,1729178587447297800,0.042496,0.043776,0.602624,2261.579776,9228.300032,9249.729024,13522.871296,13545.790464
0000000044,1,1729178587547358200,0.033024,0.033536,0.523008,2188.75392,9189.304576,9210.569216,13561.513728,13584.945664
0000000045,1,1729178587647549000,0.059904,0.060928,0.634112,2149.813248,9421.949184,9443.345664,13768.046848,13790.086912
0000000046,1,1729178587747632600,0.045312,0.046336,0.513792,2079.074816,9380.831232,9402.138112,13814.31296,13837.534208
0000000047,1,1729178587847843600,0.040704,0.041984,0.538112,2180.912896,9807.474944,9828.733184,14123.85792,14146.619904
0000000048,1,1729178587947866600,0.049664,0.050688,0.447744,2116,9802.22464,9823.478272,14249.151232,14272.206592
0000000049,1,1729178588048059100,0.046848,0.047872,0.647424,2191.200768,9769.810176,9791.07456,14337.941248,14361.097728
0000000050,1,1729178588148377000,0.050688,0.051712,0.558336,2153.81504,9892.32128,9913.600512,14549.863424,14573.188864
0000000051,1,1729178588248582700,0.04736,0.048384,0.571392,2085.852416,9874.633984,9895.757056,14672.60544,14696.579328
0000000052,1,1729178588348930000,0.062464,0.064,0.580608,2163.176704,9863.92704,9884.685824,14820.576512,14843.510784
0000000053,1,1729178588449139700,0.044288,0.045568,0.669952,2197.718272,9861.48608,9883.244032,14964.060928,14987.601408
0000000054,1,1729178588551794700,0.067584,0.068352,0.68608,2426.82624,9936.603392,9958.00064,15205.993984,15228.801024
0000000055,1,1729178588649164300,0.04352,0.0448,0.607232,2530.098176,10067.739648,10088.924928,15411.31264,15434.397696
0000000056,1,1729178588749253000,0.050176,0.0512,0.514816,2459.65312,10032.568832,10053.78048,15611.373056,15634.260736
0000000057,1,1729178588849269000,0.036608,0.037632,0.537088,2598.27456,10050.148608,10071.57632,15652.735232,15675.632128
0000000058,1,1729178588949514000,0.052736,0.053504,0.486144,2759.678208,10264.8768,10286.28096,15940.876288,15964.019968
0000000059,1,1729178589049759200,0.0384,0.039936,0.573184,2839.160064,10315.455744,10336.513792,16212.08576,16235.866624
0000000060,1,1729178589150019600,0.040192,0.041472,0.450816,2972.675072,10609.382144,10630.427648,16424.469504,16448.112896
0000000061,1,1729178589250669600,0.04224,0.06528,0.59264,2959.67616,10595.71584,10617.144832,16546.308096,16569.632768
0000000062,1,1729178589350901500,0.038144,0.039168,0.48384,3101.20704,10620.389376,10641.58848,16647.177216,16670.040064
0000000063,1,1729178589451199500,0.043776,0.045312,0.59904,3033.09824,10755.644672,10776.869632,16834.130944,16856.948736
0000000064,1,1729178589551424800,0.049408,0.050688,0.481792,3089.693696,10781.227008,10802.486016,16871.383552,16896.069632
0000000065,1,1729178589651923000,0.039168,0.04352,0.429568,3059.556864,11077.735168,11099.747584,17203.924992,17226.939136
0000000066,1,1729178589752135400,0.045312,0.046336,0.523776,3334.295808,11434.895872,11456.091136,17464.674304,17488.351744
0000000067,1,1729178589852388000,0.043776,0.0448,0.619264,3345.927168,11721.357568,11742.648064,17568.383488,17591.698944
0000000068,1,1729178589952586000,0.046848,0.048128,0.678912,3343.777024,11721.177344,11742.565376,17574.754304,17597.954304
0000000069,1,1729178590052843300,0.040192,0.041216,0.412672,3493.536,11726.241024,11747.511296,17596.406784,17619.609344
0000000070,1,1729178590153010200,0.04352,0.044544,0.533248,3433.617664,11837.245184,11858.82112,17662.352128,17685.874432
0000000071,1,1729178590253013200,0.024064,0.02432,0.311552,3452.49408,12217.487104,12238.917888,17747.04256,17769.861888
