gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729181360994419700,0.05504,0.055808,0.594688,218.803456,861.462528,882.842112,1545.497344,1569.654784
0000000001,1,1729181361094666000,0.03072,0.031232,0.580096,172.301568,853.00224,875.388928,1730.49856,1753.619968
0000000002,1,1729181361194799000,0.027904,0.028416,0.340224,103.137024,839.277056,860.610816,1808.574208,1831.518976
0000000003,1,1729181361295213300,0.048896,0.050432,0.683776,187.923456,1339.445248,1360.899584,2230.665472,2253.686528
0000000004,1,1729181361395223300,0.033792,0.034304,0.367104,131.851008,1676.12672,1697.370368,2524.069376,2549.314816
0000000005,1,1729181361495292200,0.021248,0.021504,0.546304,568.387328,2177.064704,2197.911808,3269.618176,3292.196608
0000000006,1,1729181361595526100,0.041728,0.043008,0.585472,509.379584,2407.950848,2429.284608,3536.096256,3558.856192
0000000007,1,1729181361695810000,0.040192,0.041472,0.466432,435.4624,2403.295488,2424.660224,3612.19712,3635.239936
0000000008,1,1729181361796028000,0.048128,0.049152,0.747264,362.6624,2381.342976,2403.024128,3721.291776,3744.096512
0000000009,1,1729181361896017200,0.043008,0.044032,0.45312,633.617664,2418.855424,2440.154624,4078.863616,4102.086144
0000000010,1,1729181361996164600,0.040704,0.041728,0.405248,811.21152,2523.85024,2545.097984,4606.602752,4629.2032
0000000011,1,1729181362096417500,0.037376,0.0384,0.566528,1004.880384,2783.531008,2804.718592,4955.1424,4978.567936
0000000012,1,1729181362196650800,0.04096,0.041984,0.597504,963.304448,3126.19008,3147.50976,5240.605952,5263.350272
0000000013,1,1729181362297085000,0.042496,0.043776,0.57984,890.255616,3256.011008,3277.26208,5326.748672,5350.373376
0000000014,1,1729181362397193000,0.04864,0.049664,0.495104,822.705152,3252.337408,3273.80864,5453.384448,5475.631104
0000000015,1,1729181362497450800,0.04736,0.048384,2.422016,749.143296,3248.333312,3269.591552,5530.796032,5553.472
0000000016,1,1729181362597563000,0.046336,0.04736,0.6784,726.971136,3400.657408,3422.549248,5913.19168,5936.028672
0000000017,1,1729181362697799200,0.04864,0.04992,1.021952,800.61184,3396.601344,3417.941248,6014.301696,6037.334016
0000000018,1,1729181362798045400,0.033536,0.03456,0.482816,728.654336,3451.7184,3473.204224,6208.883712,6231.573504
0000000019,1,1729181362898256100,0.045824,0.046848,0.427776,687.821312,3510.346496,3531.57632,6321.61664,6343.158272
0000000020,1,1729181362998315500,0.041728,0.043008,0.52992,700.391424,3714.488832,3736.005888,6656.285952,6679.366144
0000000021,1,1729181363098374400,0.018176,0.018688,0.571648,799.098112,3716.413184,3737.747712,6823.453696,6846.310656
0000000022,1,1729181363198680000,0.0832,0.08448,0.56832,1030.826752,4437.09184,4458.537984,7599.988224,7622.9248
0000000023,1,1729181363298943200,0.040704,0.04224,0.553728,1042.04672,4842.83392,4864.132352,7930.272768,7951.36768
0000000024,1,1729181363399204600,0.047616,0.048896,0.487168,982.024192,4916.913408,4938.32064,8083.532544,8106.646272
0000000025,1,1729181363499517000,0.0448,0.045824,0.68992,920.461568,5282.011136,5303.353856,8364.676864,8406.921984
0000000026,1,1729181363599511300,0.059904,0.060928,0.630272,960.677888,5661.56928,5682.744064,8884.30848,8907.099392
0000000027,1,1729181363699665200,0.041984,0.043264,0.542208,1052.984064,5767.264256,5788.452608,9113.239808,9139.968512
0000000028,1,1729181363799943000,0.060672,0.065024,0.530688,981.915904,5886.455808,5907.747584,9236.121088,9258.999552
0000000029,1,1729181363900079600,0.038912,0.040448,0.693504,919.849728,6046.134784,6067.441408,9450.750208,9473.775872
0000000030,1,1729181364000386600,0.036608,0.037376,0.511232,933.566976,6102.11456,6123.193856,9675.449856,9697.567488
0000000031,1,1729181364100454000,0.041984,0.043008,0.681728,1013.1392,6194.645504,6215.824384,10034.06336,10057.5744
0000000032,1,1729181364201325800,0.030464,0.031232,0.480256,1379.510784,6341.954816,6363.153408,10408.904448,10432.019456
0000000033,1,1729181364301612000,0.040448,0.041472,0.510976,1473.39776,6641.438208,6662.753792,10837.067008,10859.977472
