gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729177657524340700,0.087296,0.088832,0.64384,217.314048,843.833344,866.545152,1596.03584,1621.947136
0000000001,1,1729177657624886500,0.043264,0.044032,0.615936,148.699904,887.458048,910.562304,1738.46912,1761.336576
0000000002,1,1729177657724931800,0.04224,0.043008,0.474112,77.044992,876.88192,898.080512,1852.277504,1874.85568
0000000003,1,1729177657825034000,0.027648,0.028416,0.495104,177.939712,1558.053632,1579.204608,2370.928896,2394.705152
0000000004,1,1729177657925284600,0.05376,0.05504,0.655616,107.500288,1751.062784,1772.311296,2714.27584,2737.205248
0000000005,1,1729177658025464300,0.072192,0.073216,0.457728,618.979584,2267.465728,2288.792064,3529.936128,3552.941568
0000000006,1,1729177658125679600,0.08576,0.08704,2.223616,554.787072,2318.40256,2339.724032,3653.930496,3676.877056
0000000007,1,1729177658225759500,0.049152,0.050688,0.59136,481.483008,2457.978112,2479.895552,3850.217984,3876.260096
0000000008,1,1729177658325909000,0.03968,0.04096,0.45952,408.412416,2531.6224,2553.642752,4176.66304,4198.94144
0000000009,1,1729177658426087700,0.036352,0.03712,0.516864,678.55488,2598.807296,2620.098048,4460.946176,4483.689216
0000000010,1,1729177658526344000,0.04096,0.041984,0.655872,636.196096,2592.655616,2613.968384,4523.357952,4546.417664
0000000011,1,1729177658626419200,0.031232,0.032,0.46208,930.43712,2727.53792,2749.089536,5033.240832,5056.041472
0000000012,1,1729177658726523600,0.043008,0.0448,0.547072,1000.598784,3157.077248,3178.435328,5387.607296,5410.956032
0000000013,1,1729177658826855000,0.039168,0.039936,0.526336,938.48576,3348.241664,3369.57696,5667.901184,5692.078848
0000000014,1,1729177658926951200,0.04352,0.044544,0.65024,866.801664,3381.195776,3402.56128,5742.35136,5765.005568
0000000015,1,1729177659027233300,0.056064,0.057088,0.70656,793.627648,3511.093248,3532.531968,5921.650688,5944.355328
0000000016,1,1729177659127406000,0.032768,0.034816,0.576768,774.457856,3570.16064,3591.504896,6110.04288,6133.20832
0000000017,1,1729177659227730700,0.067072,0.073728,0.553472,713.741568,3874.837248,3896.045824,6408.252672,6430.919168
0000000018,1,1729177659327944200,0.045568,0.046848,0.712192,641.129472,3882.969088,3904.194304,6596.623616,6619.34848
0000000019,1,1729177659428145700,0.040448,0.041472,0.742144,741.873152,3922.963968,3944.152064,6815.0528,6838.097408
0000000020,1,1729177659528441600,0.044544,0.045568,0.642816,669.860352,3905.026048,3926.322688,6909.04704,6932.113152
0000000021,1,1729177659628572200,0.04224,0.04352,0.640512,712.235264,4144.301056,4165.63328,7349.734144,7373.2096
0000000022,1,1729177659728932400,0.047104,0.048128,0.540928,1014.043392,4498.078976,4519.450368,7918.672128,7942.308096
0000000023,1,1729177659829162000,0.036864,0.038144,0.523008,1107.61088,5169.925376,5191.111936,8533.207552,8555.918848
0000000024,1,1729177659929514800,0.038144,0.038912,0.558592,1215.49952,5461.567232,5482.705152,8910.550528,8933.331968
