gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING,SM5G_PDU_SESSION_ACTIVE,DataPlaneReady
0000000000,1,1729179508816548900,0.091136,0.092672,0.792064,216.55936,964.998912,986.107648,1649.331712,1673.39264
0000000001,1,1729179508916694000,0.050944,0.051968,0.659968,151.848192,954.039296,975.3088,1807.006464,1829.904384
0000000002,1,1729179509016982300,0.046336,0.046848,0.318976,105.37088,946.146048,967.331328,1949.103872,1972.17408
0000000003,1,1729179509117187800,0.03968,0.04096,0.937472,259.841024,1415.021824,1436.298752,2349.24288,2371.629056
0000000004,1,1729179509217341700,0.048128,0.049152,0.691712,196.607232,1552.224512,1573.610752,2458.879232,2481.946624
0000000005,1,1729179509317524700,0.079872,0.080896,1.652992,123.405312,1675.92064,1697.152,2708.481536,2731.368192
0000000006,1,1729179509417807600,0.043264,0.044288,0.5184,581.001984,2371.718144,2393.024768,3598.281472,3621.055744
0000000007,1,1729179509517875500,0.040448,0.041472,0.516864,517.353728,2595.888384,2617.126912,3918.043136,3940.361472
0000000008,1,1729179509618056200,0.036608,0.037376,0.734464,441.310208,2570.366464,2591.620352,3965.074944,3987.769088
0000000009,1,1729179509718360600,0.033024,0.033536,0.38912,370.4,2576.901376,2598.254336,4245.220096,4267.972608
0000000010,1,1729179509818585600,0.037888,0.038144,0.449024,630.01472,2629.75744,2651.15136,4587.63136,4610.532352
0000000011,1,1729179509918850800,0.040448,0.041472,0.605696,784.656128,2741.256448,2762.535936,4857.070592,4880.055552
0000000012,1,1729179510018884600,0.022784,0.023296,0.25472,1001.326336,3132.018688,3152.961792,5503.760128,5526.731008
0000000013,1,1729179510119029500,0.023808,0.024064,0.42368,963.356928,3528.747264,3550.031616,5800.162048,5822.970368
0000000014,1,1729179510219271000,0.027648,0.028416,0.639232,890.859264,3532.43008,3553.64096,5876.692736,5899.39968
0000000015,1,1729179510319398700,0.045824,0.046848,0.644096,818.211584,3746.194944,3767.500288,6163.795712,6186.853632
0000000016,1,1729179510419415300,0.0384,0.039168,2.729728,745.425152,3758.70976,3780.031744,6242.419456,6265.086464
0000000017,1,1729179510519657000,0.040192,0.041472,0.624384,738.814976,3914.452224,3935.824896,6636.978176,6659.654656
0000000018,1,1729179510620026600,0.065536,0.067072,0.684032,817.171712,3931.214848,3953.752576,6784.35968,6807.319808
0000000019,1,1729179510720198000,0.045056,0.045824,0.820992,756.496896,4087.445248,4108.717568,6973.77792,6996.715008
0000000020,1,1729179510820335000,0.043264,0.044032,0.636928,845.337088,4116.321024,4137.729536,7158.167552,7181.119488
0000000021,1,1729179510920573000,0.044288,0.045568,0.526592,775.185408,4088.128512,4109.217536,7266.223616,7289.399808
0000000022,1,1729179511020660500,0.086016,0.087296,0.889344,1000.84352,4298.596096,4319.713792,7641.7152,7664.893184
0000000023,1,1729179511121317600,0.0384,0.03968,0.455424,1222.824192,5087.942912,5109.267968,8318.197248,8341.325568
0000000024,1,1729179511221311000,0.02688,0.027648,0.560384,1255.142656,5571.89248,5593.222144,8776.79104,8799.985664
0000000025,1,1729179511321558500,0.046848,0.047872,0.557824,1197.307904,5630.946304,5652.135168,8917.778176,8940.732672
0000000026,1,1729179511421844500,0.066048,0.06784,0.611072,1125.14432,5754.60352,5775.917312,9151.24864,9174.087936
0000000027,1,1729179511521962800,0.039936,0.04096,0.448256,1199.3216,5967.402496,5988.597248,9440.70016,9463.401728
0000000028,1,1729179511622142200,0.041728,0.042752,0.543744,1127.193088,6118.957312,6140.280064,9713.689856,9736.35968
